Age,Gender,Dependent,Education_Level,Income,Months_on_book,Total_Relationship_Count,Credit Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Change in Transaction Count,Avg Utilization Ratio
46,M,2,Uneducated,$80K - $120K,38,4,11434,0,11434,0.84,4520,83,0.844,0
42,M,3,Graduate,$40K - $60K,34,3,1640,1444,196,0.423,1360,33,0.222,0.88
42,M,4,College,$60K - $80K,35,3,2516,1360,1156,1.193,4692,79,0.681,0.541
50,F,3,College,Less than $40K,32,5,4419,1218,3201,0.879,4535,75,0.562,0.276
44,F,2,High School,Less than $40K,29,6,2288,1505,783,0.788,4396,68,0.659,0.658
46,F,2,Uneducated,Unknown,40,3,6083,1716,4367,0.618,4528,86,0.755,0.282
46,M,2,College,$80K - $120K,38,2,10309,0,10309,0.451,1760,40,0.6,0
56,F,2,High School,$40K - $60K,36,4,13904,625,13279,0.673,3151,67,0.595,0.045
48,M,3,College,Less than $40K,37,4,3305,2517,788,0.766,2027,57,1.036,0.762
46,F,4,Graduate,Unknown,42,4,13376,1633,11743,0.98,4515,63,1.172,0.122
45,F,4,Graduate,Less than $40K,33,2,3001,2055,946,0.838,4662,70,0.628,0.685
57,M,2,Graduate,$120K +,51,6,34516,1417,33099,0.966,4303,77,0.638,0.041
41,M,2,Graduate,$60K - $80K,36,3,2238,0,2238,0.452,2063,42,0.5,0
56,F,1,Uneducated,Less than $40K,36,6,5991,1993,3998,0.673,1867,53,0.767,0.333
49,M,2,High School,$80K - $120K,40,4,13490,1672,11818,0.799,4205,75,0.415,0.124
40,F,1,High School,Unknown,31,3,15970,1212,14758,0.542,1260,32,0.524,0.076
57,M,2,Uneducated,$80K - $120K,36,5,4316,0,4316,0.363,1920,53,0.472,0
51,F,2,Graduate,Less than $40K,36,4,4970,1591,3379,0.738,5023,78,0.733,0.32
30,M,1,High School,$60K - $80K,17,3,7906,1631,6275,0.889,1946,45,0.552,0.206
65,F,1,College,Less than $40K,54,3,2888,1134,1754,1.479,2489,54,0.742,0.393
45,F,2,High School,Unknown,34,4,3024,1835,1189,0.793,14220,108,0.662,0.607
38,M,2,College,$80K - $120K,36,3,6452,1151,5301,0.884,4835,84,0.714,0.178
36,M,4,Graduate,$80K - $120K,36,5,10216,1822,8394,0.778,2568,69,0.683,0.178
31,M,1,Post-Graduate,Less than $40K,36,6,12359,0,12359,0.843,7528,70,0.628,0
43,M,3,Graduate,$80K - $120K,36,4,5506,2129,3377,0.705,4024,62,0.55,0.387
33,M,3,High School,$40K - $60K,23,1,6392,1429,4963,0.682,4069,66,0.737,0.224
60,M,1,Graduate,$120K +,46,6,5130,2048,3082,0.776,4601,88,0.76,0.399
47,M,5,High School,Less than $40K,35,4,4165,0,4165,0.813,17093,111,0.82,0
58,F,1,Post-Graduate,Less than $40K,36,6,1438.3,0,1438.3,0.657,4722,89,0.745,0
47,F,3,Uneducated,Less than $40K,27,5,14335,938,13397,0.445,3610,75,0.531,0.065
60,F,1,Uneducated,$40K - $60K,50,4,1438.3,1025,413.3,0.838,702,12,0.714,0.713
45,F,3,High School,$40K - $60K,37,4,3304,0,3304,0.532,1731,32,0.28,0
39,M,2,Graduate,$40K - $60K,31,5,8687,1146,7541,1.8,2279,33,1.357,0.132
52,F,1,Graduate,Unknown,35,3,13169,1499,11670,0.603,4370,83,0.537,0.114
49,M,4,Unknown,$120K +,38,3,34516,2517,31999,0.7,2376,55,0.486,0.073
50,M,2,Uneducated,$80K - $120K,42,3,1645,0,1645,0.771,3838,60,0.463,0
47,M,2,Graduate,$120K +,41,3,10614,784,9830,0.73,4601,77,0.638,0.074
47,M,4,Uneducated,$80K - $120K,30,5,17682,2481,15201,1.302,1747,31,1.214,0.14
51,F,4,Unknown,Less than $40K,43,6,3124,2517,607,0.635,4716,68,0.581,0.806
53,M,4,Graduate,$80K - $120K,36,3,3924,2517,1407,0.511,1417,30,0.667,0.641
42,M,3,Graduate,$40K - $60K,36,3,23981,1399,22582,0.712,14840,125,0.761,0.058
42,M,3,High School,Less than $40K,31,4,7802,1885,5917,0.643,4212,75,0.744,0.242
57,M,2,College,$40K - $60K,50,2,6462,0,6462,0.856,761,17,0.214,0
53,M,1,Graduate,$60K - $80K,45,6,3380,1701,1679,0.747,1502,25,1.273,0.503
46,M,4,Doctorate,$120K +,36,3,3104,862,2242,1.057,2781,74,0.682,0.278
38,F,3,Unknown,Less than $40K,30,6,3730,2517,1213,0.853,858,22,0.467,0.675
43,F,3,High School,Less than $40K,36,3,9484,2451,7033,0.637,7242,95,0.508,0.258
40,F,2,Graduate,Unknown,27,4,4438,1513,2925,0.807,3895,75,0.829,0.341
45,F,1,Unknown,Less than $40K,32,4,6373,1562,4811,0.573,3483,82,0.64,0.245
43,F,5,High School,$40K - $60K,24,3,4430,2203,2227,1.046,2742,49,0.4,0.497
40,M,3,High School,Less than $40K,33,1,2420,191,2229,0.818,2478,43,0.433,0.079
45,M,4,College,$120K +,40,3,2900,1782,1118,1.351,4686,64,0.561,0.614
52,M,2,High School,$60K - $80K,42,1,7261,1443,5818,0.972,14533,108,0.565,0.199
53,M,5,Uneducated,$120K +,38,4,19138,0,19138,0.482,2028,43,0.303,0
48,M,3,Graduate,$80K - $120K,37,3,34516,0,34516,0.448,1122,13,0.182,0
54,F,3,Uneducated,$40K - $60K,41,3,2488,2196,292,0.733,4361,75,0.63,0.883
46,M,1,High School,$120K +,28,4,9880,1792,8088,0.804,4609,80,0.951,0.181
38,M,3,Graduate,$60K - $80K,25,3,18293,0,18293,0.571,2958,63,0.432,0
45,M,4,Graduate,$80K - $120K,33,3,31458,1202,30256,0.673,4202,66,0.61,0.038
42,M,2,Graduate,$40K - $60K,28,3,1711,0,1711,0.983,4496,77,0.925,0
53,M,2,High School,$120K +,46,4,7474,0,7474,0.858,732,21,0.615,0
44,M,3,Graduate,$60K - $80K,36,2,9114,0,9114,0.654,2740,52,0.625,0
52,F,2,High School,$40K - $60K,39,2,12214,2379,9835,0.769,8426,105,0.544,0.195
37,F,2,Uneducated,$40K - $60K,27,1,3050,2517,533,1.177,4698,75,0.923,0.825
45,F,3,Graduate,$40K - $60K,34,4,1533,728,805,0.906,4659,83,0.766,0.475
51,M,2,Graduate,$60K - $80K,37,5,8511,0,8511,0.88,3775,62,0.676,0
57,F,3,High School,Less than $40K,36,6,3032,2215,817,0.408,1387,30,0.579,0.731
45,F,2,Graduate,$40K - $60K,36,5,1438.3,986,452.3,0.649,5136,81,0.8,0.686
36,M,3,Unknown,$80K - $120K,36,4,1815,0,1815,0.478,2039,34,0.36,0
38,M,4,Unknown,$120K +,31,3,34516,0,34516,0.604,15611,127,0.693,0
51,M,2,College,$120K +,41,6,23742,0,23742,0.769,3783,57,0.676,0
35,M,1,Doctorate,$40K - $60K,24,6,10467,1961,8506,0.713,2665,65,0.667,0.187
56,M,1,College,$80K - $120K,36,3,11751,0,11751,3.397,1539,17,3.25,0
54,M,3,High School,$80K - $120K,36,6,1438.3,1133,305.3,0.759,1935,41,0.708,0.788
31,M,2,Graduate,Less than $40K,14,4,6933,1870,5063,0.656,15585,115,0.917,0.27
56,F,1,High School,$40K - $60K,36,2,8331,0,8331,0.705,14324,103,0.689,0
50,F,1,Uneducated,Less than $40K,37,3,1838,0,1838,0.743,2461,47,1.136,0
45,M,3,High School,$60K - $80K,37,5,4995,1766,3229,0.76,4389,82,0.864,0.354
44,F,3,Uneducated,Less than $40K,35,5,1438.3,0,1438.3,0.978,3966,57,0.781,0
43,F,3,High School,Unknown,28,6,6720,2143,4577,0.814,5049,85,0.735,0.319
36,M,1,Graduate,$120K +,20,3,34516,0,34516,0.531,2686,59,0.788,0
60,F,0,Doctorate,Unknown,51,4,7508,2148,5360,0.89,4950,70,0.707,0.286
48,F,5,Uneducated,$40K - $60K,43,4,2866,921,1945,0.654,4615,72,0.6,0.321
63,M,1,High School,$60K - $80K,54,2,23355,1061,22294,0.864,8634,95,0.9,0.045
46,M,3,Graduate,$40K - $60K,37,6,2403,0,2403,0.727,3393,64,0.882,0
39,F,1,Graduate,Unknown,34,3,2884,2517,367,0.693,4809,87,0.74,0.873
45,F,4,Graduate,Less than $40K,36,3,3562,2107,1455,0.394,4490,90,0.667,0.592
57,M,0,Graduate,$40K - $60K,48,4,5387,2047,3340,0.579,1546,36,0.5,0.38
54,F,3,Doctorate,Less than $40K,39,4,1764,0,1764,0.651,4857,92,0.804,0
47,F,1,Uneducated,Less than $40K,36,5,1438.3,735,703.3,0.762,4220,87,0.673,0.511
36,M,3,Post-Graduate,$120K +,27,2,13873,0,13873,0.233,694,18,0.286,0
42,F,3,Graduate,Less than $40K,23,4,2797,1943,854,0.899,4917,66,0.784,0.695
30,M,1,Post-Graduate,Less than $40K,36,6,5061,0,5061,0.911,1309,38,0.462,0
65,M,0,High School,Less than $40K,56,6,2621,1858,763,0.987,2148,47,1.043,0.709
47,F,4,Graduate,Less than $40K,40,6,2473,0,2473,0.547,2133,44,0.419,0
52,F,2,Graduate,Less than $40K,37,1,2427,2362,65,0.67,4663,85,0.771,0.973
38,M,0,High School,$80K - $120K,29,3,5983,1885,4098,0.601,4141,65,0.711,0.315
54,M,0,High School,$80K - $120K,36,3,16286,1710,14576,1.223,2552,49,1.227,0.105
30,M,2,College,$40K - $60K,22,3,3143,1075,2068,0.643,2510,57,0.629,0.342
43,F,4,College,$40K - $60K,39,4,1438.3,0,1438.3,0.68,4528,83,1.128,0
41,M,4,Post-Graduate,$40K - $60K,30,6,16386,2236,14150,1.004,3293,66,0.833,0.136
59,M,0,Graduate,$60K - $80K,53,6,12554,2169,10385,0.529,1422,30,0.579,0.173
36,F,2,Post-Graduate,Less than $40K,25,5,8917,1091,7826,1.152,3327,80,0.86,0.122
48,M,3,Uneducated,$40K - $60K,36,6,3786,0,3786,0.715,3403,70,0.489,0
59,F,1,Uneducated,$40K - $60K,36,2,3720,1569,2151,0.891,16208,129,0.792,0.422
57,F,2,Graduate,$40K - $60K,49,5,3377,1720,1657,0.491,1621,32,0.391,0.509
62,F,0,Graduate,Less than $40K,56,3,2230,1716,514,0.811,4027,75,0.5,0.77
65,M,0,Unknown,Unknown,56,3,11332,633,10699,1.514,2758,56,1.24,0.056
44,F,3,High School,Unknown,31,5,10262,1888,8374,0.508,3553,65,0.757,0.184
42,M,4,Graduate,$80K - $120K,33,4,32535,0,32535,0.792,4374,79,0.795,0
51,F,2,Graduate,Less than $40K,44,6,3181,2517,664,0.595,818,16,0.455,0.791
46,F,5,Unknown,Less than $40K,28,3,2424,2169,255,0.613,4209,76,0.767,0.895
58,M,2,College,$80K - $120K,44,3,11811,2508,9303,0.476,1469,29,0.812,0.212
50,M,3,Post-Graduate,$80K - $120K,40,5,31383,1688,29695,0.765,1721,56,0.75,0.054
54,F,2,Unknown,Less than $40K,36,1,8758,1511,7247,0.674,7680,89,0.508,0.173
43,M,4,High School,$40K - $60K,35,1,3442,2517,925,0.62,7801,74,0.644,0.731
56,F,5,Doctorate,Less than $40K,49,3,4132,1559,2573,0.827,14781,108,0.688,0.377
53,M,2,Uneducated,$80K - $120K,36,1,4503,0,4503,0.659,748,20,0.429,0
34,M,2,High School,$80K - $120K,25,6,1439,0,1439,0.89,2932,44,0.913,0
40,F,4,Graduate,Less than $40K,22,4,1438.3,0,1438.3,0.695,2502,45,0.452,0
36,M,1,Graduate,Less than $40K,25,6,2622,2489,133,0.84,2717,79,0.549,0.949
29,M,1,Unknown,$60K - $80K,19,3,23507,1990,21517,0.631,2650,65,0.912,0.085
48,M,3,College,$80K - $120K,41,2,3430,2517,913,0.869,2639,46,0.643,0.734
64,F,0,Graduate,$40K - $60K,56,6,1564,0,1564,0.516,4018,69,0.605,0
40,M,5,Unknown,$120K +,31,1,34516,2203,32313,0.728,14204,96,0.92,0.064
46,F,3,Unknown,Less than $40K,36,2,7199,1235,5964,0.83,4050,78,0.814,0.172
57,F,1,Unknown,Less than $40K,47,4,3416,2468,948,0.598,1536,42,0.556,0.722
60,M,1,Uneducated,$40K - $60K,47,6,3735,1175,2560,1.036,8193,66,0.65,0.315
51,F,1,High School,Unknown,36,3,9095,2517,6578,0.37,1347,27,0.421,0.277
51,M,2,Unknown,$60K - $80K,42,3,13906,1430,12476,0.772,3856,68,1.061,0.103
35,F,4,Doctorate,Less than $40K,36,3,1438.3,606,832.3,0.692,5062,80,0.818,0.421
47,F,4,Graduate,Unknown,36,4,5349,1228,4121,0.728,1343,30,1.308,0.23
41,M,4,Graduate,$60K - $80K,26,5,5633,1395,4238,0.542,3695,75,0.63,0.248
56,M,3,Unknown,$60K - $80K,51,2,6941,1013,5928,0.552,4097,78,0.592,0.146
51,F,2,High School,Less than $40K,33,2,5625,1640,3985,0.893,7890,75,0.875,0.292
50,M,1,Doctorate,$80K - $120K,41,6,2826,1741,1085,0.669,4488,73,0.825,0.616
50,F,1,Graduate,Unknown,41,6,15641,2379,13262,0.816,3769,76,0.617,0.152
53,F,2,Graduate,Less than $40K,45,1,12100,1350,10750,0.854,13138,115,0.667,0.112
39,F,2,High School,Less than $40K,32,5,3086,2213,873,0.695,4684,81,0.8,0.717
42,F,5,High School,Unknown,30,3,3578,0,3578,0.759,1015,36,0.44,0
35,M,1,College,$60K - $80K,26,3,23447,1515,21932,0.622,2834,77,0.638,0.065
53,M,1,Graduate,$80K - $120K,48,3,30271,1406,28865,1.336,3231,47,0.306,0.046
54,M,3,Unknown,$80K - $120K,41,3,10448,1569,8879,0.482,1604,39,0.444,0.15
61,M,0,Post-Graduate,Unknown,53,6,14434,1927,12507,2.675,1731,32,3.571,0.134
58,M,2,College,$120K +,53,2,24407,2395,22012,1.071,2311,48,0.714,0.098
51,F,3,Graduate,Less than $40K,46,6,2927,1499,1428,0.649,4670,70,0.944,0.512
46,M,1,Uneducated,$60K - $80K,34,3,15060,0,15060,0.545,1611,42,0.4,0
35,F,0,Graduate,Less than $40K,36,4,2089,0,2089,0.871,2707,51,0.5,0
44,F,4,Graduate,Unknown,36,3,8482,0,8482,0.563,4076,81,0.688,0
60,F,0,Uneducated,Less than $40K,49,3,11060,1647,9413,0.938,4545,83,0.766,0.149
54,F,3,Graduate,$40K - $60K,39,3,4036,1329,2707,0.738,5315,82,0.708,0.329
51,F,2,Unknown,Less than $40K,43,5,3245,0,3245,0.553,1977,29,0.261,0
56,F,4,Uneducated,Less than $40K,36,4,3652,1351,2301,0.836,1561,39,0.625,0.37
38,F,3,Graduate,Unknown,33,6,29638,857,28781,0.481,3429,78,0.696,0.029
56,F,2,Unknown,$40K - $60K,37,2,2963,0,2963,0.902,2919,47,0.382,0
52,F,1,Graduate,Less than $40K,36,1,6616,831,5785,0.707,9065,85,0.735,0.126
52,F,3,Unknown,Less than $40K,38,1,3281,911,2370,0.665,4431,67,1.094,0.278
43,M,3,Uneducated,$80K - $120K,31,6,6824,2517,4307,0.972,9045,67,0.595,0.369
50,M,2,Unknown,$120K +,32,2,25645,1083,24562,0.757,4302,63,0.5,0.042
43,F,4,Graduate,$40K - $60K,31,2,4091,1108,2983,0.774,5244,87,0.706,0.271
47,F,3,Graduate,Less than $40K,38,5,3027,1671,1356,0.934,3912,77,0.925,0.552
55,M,4,College,$80K - $120K,36,4,34173,1194,32979,1.056,3731,69,0.816,0.035
45,F,3,Graduate,Less than $40K,39,2,1438.3,0,1438.3,0.81,4928,84,0.909,0
45,F,4,Uneducated,$40K - $60K,36,1,3918,2070,1848,0.76,4700,69,0.643,0.528
50,M,2,Graduate,$60K - $80K,45,2,2021,1578,443,0.761,5298,71,0.919,0.781
44,M,2,Graduate,$120K +,36,5,24016,0,24016,0.748,3693,62,0.722,0
55,F,1,High School,$40K - $60K,46,5,5379,962,4417,0.827,1778,40,0.29,0.179
55,F,2,College,Less than $40K,45,5,1850,942,908,0.757,4134,78,0.625,0.509
53,F,2,Uneducated,Less than $40K,42,6,2322,1284,1038,0.673,1573,27,0.929,0.553
43,F,1,Graduate,Less than $40K,31,5,11583,631,10952,0.714,3320,55,0.774,0.054
59,M,0,Unknown,$80K - $120K,40,3,34516,1359,33157,1.327,1033,26,1.364,0.039
48,F,3,College,Less than $40K,38,3,7326,1710,5616,1.171,1852,62,1,0.233
43,F,2,Graduate,Less than $40K,36,6,2570,2107,463,0.651,4058,83,0.766,0.82
48,F,4,High School,Less than $40K,37,1,3607,0,3607,0.504,2013,35,0.458,0
59,F,0,Graduate,Less than $40K,36,5,5688,914,4774,1.099,1824,53,1.038,0.161
40,M,3,Uneducated,$60K - $80K,30,2,24499,2517,21982,0.777,7667,84,0.527,0.103
38,M,2,Uneducated,Less than $40K,27,6,1438.3,0,1438.3,0.945,2412,58,0.657,0
42,F,4,Graduate,Unknown,36,3,2782,1782,1000,0.853,4669,93,0.755,0.641
60,F,1,Graduate,$40K - $60K,42,5,5903,1335,4568,0.914,1137,27,0.929,0.226
57,F,3,High School,Less than $40K,39,6,2781,992,1789,0.701,4577,81,0.929,0.357
42,F,4,College,$40K - $60K,36,4,3734,2517,1217,0.724,4792,87,0.74,0.674
56,F,3,Uneducated,Unknown,46,2,34516,0,34516,0.887,8416,93,0.632,0
50,M,1,Graduate,$120K +,38,4,34516,1915,32601,0.625,3828,65,1.321,0.055
48,F,3,College,Unknown,40,2,2337,0,2337,0.586,5203,90,0.765,0
50,M,3,Uneducated,$60K - $80K,45,5,20437,1020,19417,0.563,4166,66,0.737,0.05
44,F,3,Graduate,Less than $40K,38,4,3889,2517,1372,0.405,1718,37,0.276,0.647
26,F,0,Post-Graduate,Less than $40K,13,5,2902,1668,1234,0.621,2088,34,0.478,0.575
63,F,0,Uneducated,$40K - $60K,55,6,1651,1433,218,0.985,4050,58,0.611,0.868
46,F,3,Graduate,Unknown,39,4,6644,2082,4562,0.915,4659,76,0.854,0.313
45,M,3,College,$40K - $60K,37,1,2449,0,2449,0.706,5497,88,0.63,0
40,F,3,College,Less than $40K,36,2,10729,0,10729,0.68,14364,108,0.636,0
42,F,3,Uneducated,Less than $40K,38,4,1538,868,670,0.828,5228,61,0.694,0.564
47,F,1,Graduate,Unknown,37,6,2441,1672,769,0.893,4439,74,0.682,0.685
34,M,1,Graduate,$120K +,29,4,14938,1412,13526,0.677,1930,36,0.636,0.095
50,F,2,College,Less than $40K,41,6,1438.3,0,1438.3,0.872,4617,67,0.634,0
44,M,4,Graduate,$80K - $120K,36,3,19430,0,19430,1.012,3650,80,0.633,0
51,M,2,Graduate,$60K - $80K,32,6,10824,0,10824,0.962,3700,73,0.738,0
54,M,2,High School,$60K - $80K,50,3,2210,1002,1208,0.938,4798,86,0.654,0.453
32,M,1,Unknown,$40K - $60K,36,3,8998,1471,7527,0.844,1931,48,0.371,0.163
57,F,1,Graduate,Less than $40K,50,3,1665,983,682,0.889,4420,86,0.72,0.59
52,M,1,Graduate,$80K - $120K,44,2,34516,1618,32898,1,11603,109,0.847,0.047
40,F,3,Graduate,Less than $40K,31,4,2016,978,1038,0.736,4379,78,0.95,0.485
42,F,3,High School,Unknown,37,3,4540,2517,2023,0.89,4804,66,0.737,0.554
45,F,2,High School,Less than $40K,36,4,1640,999,641,0.811,4597,77,0.878,0.609
38,F,1,College,Less than $40K,32,2,2609,1259,1350,0.871,8677,96,0.627,0.483
49,M,0,High School,$80K - $120K,39,2,2221,1291,930,0.785,8618,98,0.815,0.581
51,M,1,High School,$80K - $120K,38,2,28605,0,28605,1.054,5524,67,0.718,0
50,M,2,Unknown,$40K - $60K,43,2,1857,1603,254,0.579,1590,43,1.263,0.863
43,M,3,Graduate,$80K - $120K,33,3,16351,1541,14810,0.763,3475,82,0.673,0.094
31,M,1,High School,$40K - $60K,26,1,15504,1277,14227,0.612,14181,126,0.615,0.082
45,M,2,Uneducated,$40K - $60K,37,6,2811,1630,1181,0.847,4275,78,0.733,0.58
34,F,2,Unknown,Less than $40K,21,6,6131,1270,4861,0.913,2825,93,0.824,0.207
42,F,4,Graduate,$40K - $60K,36,6,4008,1636,2372,0.637,1395,43,0.955,0.408
51,M,3,Uneducated,$80K - $120K,37,1,34516,0,34516,0.814,8736,97,0.702,0
42,F,3,Unknown,Unknown,34,6,5395,1439,3956,0.781,3523,79,0.717,0.267
35,F,3,Graduate,$40K - $60K,36,4,7234,2000,5234,0.754,4272,83,0.596,0.276
60,F,1,College,Less than $40K,53,4,3346,922,2424,0.913,1276,21,0.75,0.276
39,F,1,Graduate,Less than $40K,26,3,1876,1536,340,0.712,2579,47,0.469,0.819
57,M,2,Uneducated,$60K - $80K,41,3,2527,1030,1497,0.714,2767,43,0.387,0.408
43,M,5,Graduate,$60K - $80K,28,1,12773,1637,11136,0.919,14833,114,0.583,0.128
49,F,4,High School,Less than $40K,43,5,2574,1555,1019,0.583,4134,62,0.55,0.604
35,F,3,High School,Less than $40K,23,3,3073,526,2547,0.702,1944,55,0.618,0.171
34,M,3,Graduate,$40K - $60K,36,3,4549,990,3559,0.745,13804,123,0.732,0.218
47,M,3,Unknown,$60K - $80K,36,3,2589,1693,896,0.878,4259,83,0.766,0.654
50,M,4,College,$60K - $80K,44,4,13911,2160,11751,0.73,2204,60,0.667,0.155
52,M,0,Unknown,$120K +,48,4,13114,2247,10867,1.003,2474,51,0.417,0.171
43,F,3,Graduate,$40K - $60K,33,6,4343,0,4343,0.563,1352,35,0.944,0
38,M,1,Graduate,$80K - $120K,27,6,26372,1365,25007,1.394,2291,56,1,0.052
54,M,2,Unknown,$40K - $60K,44,4,2902,2517,385,0.821,996,26,0.444,0.867
41,M,5,Unknown,$80K - $120K,36,1,1438.3,892,546.3,0.79,4426,88,0.66,0.62
49,M,5,College,$80K - $120K,37,3,29219,0,29219,0.77,4575,84,0.68,0
57,M,3,Unknown,$60K - $80K,48,5,24589,1640,22949,0.4,4291,78,0.625,0.067
38,F,3,Unknown,$40K - $60K,36,3,5576,0,5576,0.686,4322,85,0.809,0
47,F,2,Doctorate,Less than $40K,37,3,4254,1204,3050,0.538,5385,93,0.691,0.283
38,F,3,High School,Less than $40K,27,4,1438.3,0,1438.3,0.73,2478,45,0.552,0
29,M,1,Uneducated,$40K - $60K,23,1,8147,1750,6397,0.751,14912,114,0.869,0.215
30,M,2,Graduate,$40K - $60K,36,4,5281,0,5281,0.535,8395,62,0.722,0
44,F,3,High School,Less than $40K,35,5,3398,2415,983,0.891,4509,93,0.661,0.711
37,F,3,College,Less than $40K,27,2,2939,1388,1551,0.69,5076,84,0.826,0.472
49,F,2,High School,$40K - $60K,40,5,3263,1522,1741,0.58,4288,69,0.725,0.466
42,M,5,High School,$60K - $80K,36,2,3275,1525,1750,0.749,14830,112,0.697,0.466
43,M,3,Doctorate,$40K - $60K,35,2,4970,1588,3382,0.669,4436,83,0.804,0.32
43,M,3,Graduate,$80K - $120K,32,2,4196,1331,2865,0.537,14545,116,0.841,0.317
49,F,2,Uneducated,Unknown,36,4,5099,1178,3921,0.912,3819,82,0.864,0.231
35,F,2,Graduate,Unknown,23,4,6729,2375,4354,0.579,2080,50,0.351,0.353
51,M,2,Graduate,$80K - $120K,40,3,3290,2461,829,0.797,3591,80,0.739,0.748
35,M,3,Graduate,$60K - $80K,26,6,3991,1982,2009,0.748,1661,35,0.944,0.497
39,F,3,Uneducated,Unknown,30,6,3023,1348,1675,0.358,2219,44,0.63,0.446
